Unnamed: 0,disease,symptoms
72,Autonomic Neuropathy,"dizziness, fainting, abdominal bloating, sweating problems, urinary problems, constipation, diarrhea, difficulty sensing a full bladder, inability to completely empty the bladder, sexual difficulties, difficulty swallowing, heartburn, inability to recognize low blood sugar, erectile dysfunction, ejaculation problems, loss of appetite, loss of bladder control, low libido, difficulty reaching orgasm, difficulty digesting food, difficulty adjusting from light to dark, seeing poorly at night, exercise intolerance, nausea, vaginal dryness, difficulty starting urination, feeling full after a few bites of food, shakiness, sweating too much, sweating too little, inability to regulate body temperature, sluggish pupil reaction, vomiting"
73,Avascular Necrosis,"pain, hurt"
74,Baby Acne,"inflamed bumps, pimple-like bumps"
75,Back Pain,"muscle aching, shooting sensation, burning sensation, stabbing sensation, pain radiate down a leg"
76,Bartholin Cyst,"tender, painful lump near the vaginal opening, discomfort while walking or sitting, pain during intercourse, fever"
77,Basal Cell Carcinoma,"black or blue lesion, dark spots, raised edge, scaly patch, scar-like lesion, skin-colored bump, translucent, growth, sore that won't heal, shiny, pearly white bump, pink bump, brown bump, glossy black bump, tiny blood vessels, bleeding, scab"
78,Bed Sores,"unusual changes in skin color or texture, swelling, pus-like draining, area of skin that feels cooler or warmer to the touch, tender areas"
79,Bed Wetting,bed-wetting
80,Bedbugs,"inflamed spots, blisters, hives, itchy, severe itching"
81,Bee Stings,"hives, itching, flushed or pale skin, difficulty breathing, swelling of the throat, tongue, weak pulse, nausea, sharp burning pain, red welt, slight swelling, vomiting, diarrhea, dizziness, fainting, loss of consciousness, headache, vertigo, convulsions, fever, extreme redness, swelling"
82,Behcets Disease,"swelling, inflammation, mouth sores, diarrhea, bleeding, headache, disorientation, redness, fever, abdominal pain, open sores, pain, blurred vision, poor balance, stroke, nodules, ulcers, joint swelling"
83,Bells Palsy,"facial paralysis, facial weakness, mouth droop, trouble retaining saliva, difficulty closing the eye, rapid onset of mild weakness, facial droop, difficulty making facial expressions, drooling, pain around the jaw, pain in or behind your ear, increased sensitivity to sound, headache, loss of taste, changes in the amount of tears, changes in the amount of saliva"
84,Benign Prostatic Hyperplasia,"frequent or urgent need to pee, peeing more often at night, trouble starting to pee, weak urine stream, stream that stops, starts, dribbling at the end of urination, not being able to fully empty the bladder, urinary tract infection, not being able to pee, blood in the urine, inflamed prostate, narrowing of the urethra, scarring in the bladder neck, bladder or kidney stones, problems with nerves that control the bladder, cancer of the prostate or bladder"
85,Bile Reflux,"cough, hoarseness, unintended weight loss, sour taste in your mouth, nausea, vomiting, upper abdominal pain, heartburn"
86,Binge Eating Disorder,"ashamed, disgusted, guilty, upset about your eating, feeling that your eating behavior is out of control, eating even when you're full, not hungry, eating rapidly, eating until you're uncomfortably full, feeling depressed"
87,Bipolar Disorder,"mania, hypomania, depression, mood swings, irritability, loss of interest, no pleasure, weight loss, failure to gain weight, insomnia, sleeping too much, restlessness, slowed behavior, fatigue, loss of energy, feelings of worthlessness, guilt, decreased ability to think, decreased ability to concentrate, indecisiveness, suicidal thoughts, planning suicide, suicide attempt, depressed mood, anxious distress, sadness, psychosis, unpredictable changes in mood, abnormally upbeat, exaggerated sense of well-being, euphoria, decreased need for sleep, talkativeness, racing thoughts, distractibility, poor decision-making, increased activity, agitation, jumpy, wired, decrease in appetite, increase in appetite, relationship difficulties, tearful, melancholy, hopelessness, weight gain"
88,Black Hairy Tongue,"black discoloration of the tongue, hairy or furry appearance of the tongue, altered taste, metallic taste in your mouth, bad breath, gagging, tickling sensation"
89,Bladder Cancer,"blood in urine, hematuria, frequent urination, painful urination, back pain"
90,Bladder Exstrophy,"vesicoureteral reflux, protruding abdominal organs"
91,Bladder Stones,"lower abdominal pain, pain during urination, frequent urination, difficulty urinating, interrupted urine flow, blood in the urine, cloudy urine, dark-colored urine"
92,Blastocystis Hominis Infection,"watery diarrhea, nausea, abdominal pain, bloating, excessive gas, loss of appetite, weight loss, anal itching, fatigue"
93,Blepharitis,"watery eyes, red eyes, gritty sensation, burning sensation, stinging sensation, greasy eyelids, itchy eyelids, swollen eyelids, flaking skin around eyes, crusted eyelashes, eyelid sticking, frequent blinking, sensitivity to light, blurred vision"
94,Blocked Tear Duct,"excessive tearing, redness of the white part of the eye, recurrent eye infection or inflammation, painful swelling near the inside corner of the eye, crusting of the eyelids, mucus or pus discharge from the lids, surface of the eye, blurred vision"
95,Blood In Urine,"blood in urine, blood clots"
96,Body Dysmorphic Disorder,"acne, blemishes, difficult to control, distress, problems in social life, thinning, baldness, wrinkles"
97,Body Lice,"intense itching, blood, crust"
98,Boils And Carbuncles,"fever, chills, swollen skin, pain"
99,Bone And Joint Infections,"discomfort, difficulty using the affected joint, swollen, loosening of the joint, fever, pain, swelling, dislocated, pain while moving the joint, pain while putting weight on the joint"
100,Bone Metastasis,"bone pain, broken bones, urinary incontinence, bowel incontinence, weakness in the legs or arms, vomiting, nausea, constipation, confusion"
101,Bone Spurs,"pain, loss of motion, painful to extend leg, painful to bend leg, weakness, numbness, painful to move hip, reduced range of motion"
102,Borderline Personality Disorder,"paranoia, loss of contact with reality, being sarcastic, being bitter, binge eating, drug abuse, fear of abandonment, intense anger, irritability, impulsive behavior, risky behavior, mood swings, physical fights, sabotaging success, suicidal threats, suicidal behavior, self-injury, reckless driving, shame, anxiety, feelings of emptiness, losing your temper, gambling, rapid changes in self-identity, rapid changes in self-image, unsafe sex, intense happiness"
103,Botulism,"muscle weakness, facial paralysis, trouble swallowing or speaking, dry mouth, facial weakness on both sides of the face, blurred or double vision, drooping eyelids, trouble breathing, nausea, vomiting, stomach cramps, paralysis, constipation, floppy movements, weak cry, irritability, drooling, tiredness, trouble sucking or feeding, headache, fever"
104,Brain Avm,"failure to thrive, congestive heart failure, headache, weakness, numbness, paralysis, vision loss, difficulty speaking, confusion, inability to understand others, severe unsteadiness, seizures, pain, muscle weakness"
105,Brain Metastases,"headache, vomiting, nausea, memory problems, seizures, weakness, numbness"
106,Brain Tumor,"vertigo, feeling very hungry, gaining weight, headaches, neck pain, hearing problems, dizziness, seeing double, losing sight on the sides of your vision, losing feeling or movement in an arm or a leg, trouble with balance, speech problems, feeling very tired, confusion, memory problems, trouble following simple commands, personality changes, behavior changes, seizures, balance problems, trouble walking, forgetfulness, lack of interest in usual activities, taste something that isn't there, smell something that isn't there, eye pain, sinus pain, vision problems, vision loss, nausea, vomiting, eye problems"
107,Breast Cancer,"breast lump or thickening, change in size, crusting, flaking, redness, pitting, scaling, changes to the skin, dimpling, inverted nipple, peeling"
108,Broken Ankle,"throbbing pain, swelling, bruising, tenderness, deformity, difficulty or pain with walking or bearing weight"
109,Broken Collarbone,"pain that increases when moving the shoulder, swelling, tenderness, bruising, skin over the break might look like a tent when gently pinched, bump on or near the shoulder, grinding or crackling sound when moving the shoulder, stiffness, not being able to move the shoulder, not move their arm for days, cry if someone moves the arm"
110,Broken Foot,"throbbing pain, pain that increases with activity, decreases with rest, swelling, bruising, tenderness, deformity, difficulty in walking or bearing weight"
111,Broken Heart Syndrome,"chest pain, shortness of breath"
112,Broken Leg,"severe pain, swelling, tenderness, bruising, obvious deformity, shortening of the affected leg, inability to walk, limping"
113,Broken Toe,"pain, swelling, change in skin color"
114,Broken Wrist,"severe pain, swelling, tenderness, bruising, obvious deformity, decreased range of motion, decreased grip strength, numbness, trouble moving fingers"
